Nasdaq Traded,Symbol,Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Fortune 500
Y,EQOP,Natixis U.S. Equity Opportunities ETF,P, ,Y,100,N,,EQOP,EQOP,N,N
Y,EQOS,Diginex Limited - Ordinary Shares,Q,S,N,100,N,N,,EQOS,N,N
Y,EQOSW,Diginex Limited - Warrant,Q,S,N,100,N,N,,EQOSW,N,N
Y,EQR,Equity Residential Common Shares of Beneficial Interest,N, ,N,100,N,,EQR,EQR,N,Y
Y,EQRR,ProShares Equities for Rising Rates ETF,Q,G,Y,100,N,N,,EQRR,N,N
Y,EQS,"Equus Total Return, Inc. Common Stock",N, ,N,100,N,,EQS,EQS,N,N
Y,EQT,EQT Corporation Common Stock,N, ,N,100,N,,EQT,EQT,N,N
Y,EQWL,Invesco S&P 100 Equal Weight ETF,P, ,Y,100,N,,EQWL,EQWL,N,N
Y,EQX,Equinox Gold Corp. Common Shares,A, ,N,100,N,,EQX,EQX,N,N
Y,ERC,"Wells Fargo Multi-Sector Income Fund Common Stock, no par value",A, ,N,100,N,,ERC,ERC,N,N
Y,ERES,East Resources Acquisition Company - Class A Common Stock,Q,S,N,100,N,N,,ERES,N,N
Y,ERESU,East Resources Acquisition Company - Unit,Q,S,N,100,N,N,,ERESU,N,N
Y,ERESW,East Resources Acquisition Company - Warrant,Q,S,N,100,N,N,,ERESW,N,N
Y,ERF,Enerplus Corporation Common Stock,N, ,N,100,N,,ERF,ERF,N,N
Y,ERH,Wells Fargo Utilities and High Income Fund,A, ,N,100,N,,ERH,ERH,N,N
Y,ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share,Q,Q,N,100,N,N,,ERIC,N,N
Y,ERIE,Erie Indemnity Company - Class A Common Stock,Q,Q,N,100,N,N,,ERIE,N,N
Y,ERII,"Energy Recovery, Inc. - Common Stock",Q,Q,N,100,N,N,,ERII,N,N
Y,ERJ,Embraer S.A. Common Stock,N, ,N,100,N,,ERJ,ERJ,N,N
Y,ERM,EquityCompass Risk Manager ETF,P, ,Y,100,N,,ERM,ERM,N,N
Y,ERSX,ERShares Non-US Small Cap ETF,P, ,Y,100,N,,ERSX,ERSX,N,N
Y,ERUS,iShares MSCI iShares MSCI Russia ETF ,P, ,Y,100,N,,ERUS,ERUS,N,N
Y,ERX,Direxion Energy Bull 2X Shares,P, ,Y,100,N,,ERX,ERX,N,N
Y,ERY,Direxion Daily Energy Bear 2X Shares,P, ,Y,100,N,,ERY,ERY,N,N
Y,ERYP,Erytech Pharma S.A. - American Depositary Shares,Q,Q,N,100,N,N,,ERYP,N,N
Y,ES,Eversource Energy (D/B/A) Common Stock,N, ,N,100,N,,ES,ES,N,Y
Y,ESBA,"Empire State Realty OP, L.P. Series ES Operating Partnership Units Representing Limited Partnership Interests",P, ,N,100,N,,ESBA,ESBA,N,N
Y,ESBK,Elmira Savings Bank NY (The) - Common Stock,Q,S,N,100,N,N,,ESBK,N,N
Y,ESCA,"Escalade, Incorporated - Common Stock",Q,G,N,100,N,N,,ESCA,N,N
Y,ESCR,Xtrackers Bloomberg Barclays US Investment Grade Corporate ESG ETF,Z, ,Y,100,N,,ESCR,ESCR,N,N
Y,ESE,ESCO Technologies Inc. Common Stock,N, ,N,100,N,,ESE,ESE,N,N
Y,ESEA,Euroseas Ltd. - Common Stock,Q,S,N,100,N,N,,ESEA,N,N
Y,ESEB,Xtrackers J.P. Morgan ESG Emerging Markets Sovereign ETF,Z, ,Y,100,N,,ESEB,ESEB,N,N
Y,ESG,FlexShares Trust FlexShares STOXX US ESG Impact Index Fund,Z, ,Y,100,N,,ESG,ESG,N,N
Y,ESGA,American Century Sustainable Equity ETF,P, ,Y,100,N,,ESGA,ESGA,N,N
Y,ESGC,Eros STX Global Corporation A Ordinary Shares,N, ,N,100,N,,ESGC,ESGC,N,N
Y,ESGD,iShares ESG Aware MSCI EAFE ETF,Q,G,Y,100,N,N,,ESGD,N,N
Y,ESGE,iShares ESG Aware MSCI EM ETF,Q,G,Y,100,N,N,,ESGE,N,N
Y,ESGG,FlexShares Trust FlexShares STOXX Global ESG Impact Index Fund,Z, ,Y,100,N,,ESGG,ESGG,N,N
Y,ESGN,Columbia Sustainable International Equity Income ETF,P, ,Y,100,N,,ESGN,ESGN,N,N
Y,ESGR,Enstar Group Limited - Ordinary Shares,Q,Q,N,100,N,N,,ESGR,N,N
Y,ESGRO,"Enstar Group Limited - Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares, Series E",Q,Q,N,100,N,N,,ESGRO,N,N
Y,ESGRP,Enstar Group Limited - Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,Q,Q,N,100,N,N,,ESGRP,N,N
Y,ESGS,Columbia Sustainable U.S. Equity Income ETF,P, ,Y,100,N,,ESGS,ESGS,N,N
Y,ESGU,iShares ESG Aware MSCI USA ETF,Q,G,Y,100,N,N,,ESGU,N,N
Y,ESGV,Vanguard ESG U.S. Stock ETF,Z, ,Y,100,N,,ESGV,ESGV,N,N
Y,ESHY,Xtrackers J.P. Morgan ESG USD High Yield Corporate Bond ETF,Z, ,Y,100,N,,ESHY,ESHY,N,N
Y,ESI,Element Solutions Inc. Common Stock,N, ,N,100,N,,ESI,ESI,N,N
Y,ESLT,Elbit Systems Ltd. - Ordinary Shares,Q,Q,N,100,N,N,,ESLT,N,N
Y,ESML,iShares ESG Aware MSCI USA Small-Cap ETF,Z, ,Y,100,N,,ESML,ESML,N,N
Y,ESNG,Direxion MSCI USA ESG - Leaders vs. Laggards ETF,P, ,Y,100,N,,ESNG,ESNG,N,N
Y,ESNT,Essent Group Ltd. Common Shares,N, ,N,100,N,,ESNT,ESNT,N,N
Y,ESP,Espey Mfg. & Electronics Corp. Common Stock,A, ,N,100,N,,ESP,ESP,N,N
Y,ESPO,VanEck Vectors Video Gaming and eSports ETF,Q,G,Y,100,N,N,,ESPO,N,N
Y,ESPR,"Esperion Therapeutics, Inc. - Common Stock",Q,G,N,100,N,N,,ESPR,N,N
Y,ESQ,"Esquire Financial Holdings, Inc. - Common Stock",Q,S,N,100,N,N,,ESQ,N,N
Y,ESRT,"Empire State Realty Trust, Inc. Class A Common Stock",N, ,N,100,N,,ESRT,ESRT,N,N
Y,ESS,"Essex Property Trust, Inc. Common Stock",N, ,N,100,N,,ESS,ESS,N,Y
Y,ESSA,"ESSA Bancorp, Inc. - common stock",Q,Q,N,100,N,N,,ESSA,N,N
Y,ESSC,East Stone Acquisition Corporation - Ordinary Shares,Q,S,N,100,N,N,,ESSC,N,N
Y,ESSCR,East Stone Acquisition Corporation - Right,Q,S,N,100,N,N,,ESSCR,N,N
Y,ESSCU,East Stone Acquisition Corporation - Unit,Q,S,N,100,N,N,,ESSCU,N,N
Y,ESSCW,East Stone Acquisition Corporation - Warrant,Q,S,N,100,N,N,,ESSCW,N,N
Y,ESTA,Establishment Labs Holdings Inc. - Common Shares,Q,S,N,100,N,N,,ESTA,N,N
Y,ESTC,Elastic N.V. Ordinary Shares,N, ,N,100,N,,ESTC,ESTC,N,N
Y,ESTE,"Earthstone Energy, Inc. Class A Common Stock",N, ,N,100,N,,ESTE,ESTE,N,N
Y,ESXB,Community Bankers Trust Corporation. - Common Stock,Q,S,N,100,N,N,,ESXB,N,N
Y,ET,Energy Transfer LP Common Units ,N, ,N,100,N,,ET,ET,N,N
Y,ETAC,E.Merge Technology Acquisition Corp. - Class A Common stock,Q,S,N,100,N,N,,ETAC,N,N
Y,ETACU,E.Merge Technology Acquisition Corp. - Unit,Q,S,N,100,N,N,,ETACU,N,N
Y,ETACW,E.Merge Technology Acquisition Corp. - Warrant,Q,S,N,100,N,N,,ETACW,N,N
Y,ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,N, ,N,100,N,,ETB,ETB,N,N
Y,ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,N, ,N,100,N,,ETG,ETG,N,N
Y,ETH,Ethan Allen Interiors Inc. Common Stock,N, ,N,100,N,,ETH,ETH,N,N
Y,ETHO,Etho Climate Leadership U.S. ETF,P, ,Y,100,N,,ETHO,ETHO,N,N
Y,ETI$,"Entergy Texas Inc 5.375% Series A Preferred Stock, Cumulative, No Par Value",N, ,N,100,N,,ETIp,ETI-,N,N
Y,ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,N, ,N,100,N,,ETJ,ETJ,N,N
Y,ETM,Entercom Communications Corp. Common Stock,N, ,N,100,N,,ETM,ETM,N,N
Y,ETN,"Eaton Corporation, PLC Ordinary Shares",N, ,N,100,N,,ETN,ETN,N,Y
Y,ETNB,"89bio, Inc. - Common Stock",Q,G,N,100,N,N,,ETNB,N,N
Y,ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,N, ,N,100,N,,ETO,ETO,N,N
Y,ETON,"Eton Pharmaceuticals, Inc. - Common Stock",Q,G,N,100,N,N,,ETON,N,N
Y,ETP$C,Energy Transfer Operating L.P. Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,N, ,N,100,N,,ETPpC,ETP-C,N,N
Y,ETP$D,Energy Transfer Operating L.P. 7.625% Series D Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,N, ,N,100,N,,ETPpD,ETP-D,N,N
Y,ETP$E,"Energy Transfer Operating, L.P. Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units",N, ,N,100,N,,ETPpE,ETP-E,N,N
Y,ETR,Entergy Corporation Common Stock,N, ,N,100,N,,ETR,ETR,N,Y
Y,ETRN,Equitrans Midstream Corporation Common Stock ,N, ,N,100,N,,ETRN,ETRN,N,N
Y,ETSY,"Etsy, Inc. - Common Stock",Q,Q,N,100,N,N,,ETSY,N,Y
Y,ETTX,Entasis Therapeutics Holdings Inc. - Common Stock,Q,G,N,100,N,N,,ETTX,N,N
Y,ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,N, ,N,100,N,,ETV,ETV,N,N
Y,ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,N, ,N,100,N,,ETW,ETW,N,N
Y,ETX,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,N, ,N,100,N,,ETX,ETX,N,N
Y,ETY,"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",N, ,N,100,N,,ETY,ETY,N,N
Y,EUDG,WisdomTree Europe Quality Dividend Growth Fund,P, ,Y,100,N,,EUDG,EUDG,N,N
